id,class_label,pos
1,1,IN PRP VBD RB VBN VBG IN NN PRP VBD RB VBD PRP$ NN VBD NNP NNP VBN NNS RB IN DT NN DT VBP NN VBZ DT VBG NNS VBP JJ PRP DT NN IN NNP PRP NN VBN NNS
2,1,IN NNP CC NNP VBD DT NNP NN CC RB DT NNP NN WP VBD DT JJR NN
3,1,NN RB PRP$ JJ IN NNS IN DT NN VBP DT JJ NN IN NNS UH JJ JJ VBP TO VB JJ NNS WRB DT NNS NN VBZ RB IN NN PRP VBP NNS PRP RB VBP RB VB PRP NN NNS NNP NN
4,1,VBZ RB JJ DT JJ NN IN NNS RB RB DT NNP NNP NN MD VB NN IN DT NNS IN DT NN
5,0,IN DT NN WDT VBZ RB VB DT VBN IN VBG CC VBG DT NN WRB VBP PRP VB DT TO VB NNP NNP
6,0,UH RB VB PRP UH PRP RB VBP VB IN PRP VBG IN NNS WP VBP DT NN VBP VBG TO VB VBN IN DT NN PRP MD VB NN NN CC VB DT NN CC IN PRP VBP DT NN VBZ VBG TO RB JJ VB PRP
7,0,PRP VBP IN NNP VBD IN DT NN NN IN NNP NN RB TO VB PRP$ NNP VBD NNP NN JJ IN DT NNP IN JJ NNS NNS VBD RB VBN NNS IN VBG NNS VBD VBN CC NN IN DT NNS VBD VBN
8,0,PRP VBP RP DT NN WRB NN IN DT NN NNS JJ PRP VBP DT JJ NN IN PRP VBZ NN IN PRP$ NN NN DT VBZ PRP$ JJ JJ NN NN
9,0,RB DT JJ IN NN NNS VBP IN DT NN NNS DT JJ VBP IN DT NN NN DT VBZ DT NN IN NN NNS VBP IN DT NN NNS
10,0,PRP VBP IN NN PRP VBP RB VBN CC VBN IN NN IN NNP PRP VBD PRP$ NN NN IN NNP PRP VBP PRP$ NN RB IN JJ NNS PRP VBP RB VBN NNP CC DT VBZ PRP$ JJ NN VBZ IN NN PRP VBP JJ
11,0,VBZ NN VB WP VBD IN DT VBN NNS PRP VBD VBD PRP RB VB DT NN VBD PRP IN DT NN IN DT NNP NN NNP NNP IN DT NN WRB VBG PRP
12,1,JJ NNS MD RB VB PRP RB JJ CC RB VBZ RB VB PRP RB VBP IN DT NN WDT VBZ TO VB DT JJ NN CC DT VBZ DT JJ NN NN RB DT NN IN PDT DT NNS RB VB NN PRP DT NN
13,0,CC DT NNP CC DT NNP VBZ VBN NNS CC NNS IN DT JJ NN
14,0,PRP RBR JJ IN DT NNP VBG NNP PRP$ NNP JJ NN
15,0,DT NN VBZ VBN TO VB NN RB NN NNS DT NNP CC DT NNP NNP VBD DT NN VBD JJ IN NN CC NN PRP VBD IN WRB JJ NNS VBD VBG VBN CC VBG
16,0,NNP NNP NNP NNP NNS IN NNP NNP NNP NNP NNP JJ NNS IN NNP VBP RB VBN NNP NNP JJ NNP NNS NNP JJ NN NNS DT JJ NN PRP VBZ IN NN IN NNP IN DT NNP NNP
17,0,NN VBZ DT JJ NN IN DT NN IN DT NN PRP MD VB RB VBN DT NN JJ PRP VBZ RB JJ PRP$ NNS VBP VBN VB PRP VB PRP MD VB PRP
18,0,JJ CC JJ NNP VBD RB VB IN DT NN IN NNS VBD WRB NNPS NNP VBD IN NN NNS VBP RB VBG IN NNP CC PRP$ NN PRP VBP VBG IN NN TO VB DT NN WRB RB IN PRP VBP NNP NN CC JJ NNS
19,0,RB PRP VBP RB JJ VBP PRP VBG IN DT NNP VBZ VB PRP$ NN NN IN NNS NNS PRP VBP VBG CD NN DT NN PRP VBZ DT NN NNS VBP RB VB PRP$ NNP NN CC VBP TO VB DT TO VB PRP
20,0,DT NN NN VBD JJ JJ JJ CC NN NN DT JJ NN IN PRP VBD VBG IN IN DT NN IN NN NN IN DT JJ NN IN NNS MD VB VBN JJ IN JJ NN NNP NNP NN NNP
21,1,DT NNP DT NNP VBZ NNS PRP VBZ DT JJS CC JJS VBN NNP IN DT JJ NN IN DT NN
