param_activation,param_hidden_layer_sizes,param_learning_rate,mean_fit_time,mean_test_score,std_test_score,rank_test_score
relu,"(100, 50)",adaptive,354.3943808555603,0.9299335911239881,0.0016636908605976216,1
relu,"(100, 50)",constant,362.9866831302643,0.9291117118031226,0.0009088557741030925,2
relu,"(64, 32)",constant,243.05762004852295,0.9272451274658469,0.001297857936464615,3
relu,"(64, 32)",adaptive,224.9874575138092,0.9267854369227158,0.0006847903908196755,4
relu,"(100,)",adaptive,353.05835576057433,0.926144698561505,0.0012268820515799563,5
relu,"(100,)",constant,358.2060393333435,0.9260889756437981,0.0011719570515258976,6
tanh,"(100, 50)",constant,344.35475125312803,0.9239159652257092,0.0017382460614020455,7
tanh,"(64, 32)",adaptive,226.9172935962677,0.9238044873728789,0.0012494885474478312,8
tanh,"(64, 32)",constant,227.67944650650026,0.9229548004406333,0.00114786832494779,9
tanh,"(100, 50)",adaptive,347.05378341674805,0.9224672450428623,0.0008196427157644686,10
tanh,"(100,)",adaptive,264.5160971641541,0.922300090843113,0.0016524284002497976,11
tanh,"(100,)",constant,344.37101950645445,0.9214782532419112,0.0018353465007696604,12
