param_activation,param_hidden_layer_sizes,param_learning_rate,mean_fit_time,mean_test_score,std_test_score,rank_test_score
relu,"(100, 50)",adaptive,380.3180064678192,0.9285266439674824,0.0014782244100451233,1
relu,"(100, 50)",constant,390.8509289741516,0.9285127639322986,0.001565957304418883,2
relu,"(64, 32)",constant,222.90964913368225,0.9278859269512163,0.0017070348618600237,3
relu,"(64, 32)",adaptive,219.51274995803834,0.9266322258227586,0.0007600246067129297,4
relu,"(100,)",adaptive,334.12876563072206,0.9262422061482501,0.0014423619728880738,5
relu,"(100,)",constant,342.4344454288483,0.924904976431155,0.0018000601302049972,6
tanh,"(64, 32)",constant,231.691557264328,0.9233726937018044,0.0015252247085091927,7
tanh,"(64, 32)",adaptive,250.5991427898407,0.9231219672533044,0.001706755319495477,8
tanh,"(100, 50)",constant,329.7079252243042,0.9230662443355975,0.0013886322564353913,9
tanh,"(100, 50)",adaptive,348.0103443145752,0.9223976217152521,0.0015311846964495028,10
tanh,"(100,)",constant,372.2538571357727,0.9217846958165451,0.0012957559768024983,11
tanh,"(100,)",adaptive,292.94981322288515,0.9206703335146587,0.001366344539880047,12
