param_activation,param_hidden_layer_sizes,param_learning_rate,mean_fit_time,mean_test_score,std_test_score,rank_test_score
relu,"(64, 32)",adaptive,220.5738097190857,0.9236651960873203,0.000630948650727695,1
relu,"(64, 32)",constant,223.99809370040893,0.9235119946896108,0.0013219493352675162,2
relu,"(100,)",adaptive,367.32786388397216,0.923414485162416,0.00156480241608997,3
relu,"(100, 50)",constant,365.35557012557985,0.9232891127210309,0.0013636238791116342,4
relu,"(100,)",constant,363.4486488819122,0.9230105243285649,0.0014313498010729158,5
relu,"(100, 50)",adaptive,355.5514379024506,0.9227319349658742,0.0020446151069519417,6
tanh,"(100,)",adaptive,258.95299263000487,0.9219379321423457,0.0018405895436461254,7
tanh,"(100,)",constant,364.78199605941774,0.9217289728988384,0.0012682984702367458,8
tanh,"(64, 32)",adaptive,213.83565168380738,0.9210046554973035,0.001824129201217148,9
tanh,"(100, 50)",constant,343.7654890537262,0.9208514443973466,0.0031463242493671136,10
tanh,"(64, 32)",constant,214.65127415657042,0.9207539077038591,0.0016870697076042129,11
tanh,"(100, 50)",adaptive,335.4069001674652,0.920642490004963,0.002226790401100551,12
