param_activation,param_hidden_layer_sizes,param_learning_rate,mean_fit_time,mean_test_score,std_test_score,rank_test_score
relu,"(100,)",adaptive,354.0949951648712,0.9258521806523934,0.002112666613608144,1
relu,"(100, 50)",constant,339.47123727798464,0.925378554771268,0.001688559339331148,2
relu,"(64, 32)",constant,218.79559631347655,0.9251139055976954,0.0011066151411124904,3
relu,"(100,)",constant,369.1222983360291,0.924849235079178,0.0017871992265382157,4
relu,"(100, 50)",adaptive,331.5749217510223,0.924835299741184,0.0007020042655377592,5
relu,"(64, 32)",adaptive,214.11236658096314,0.9247935141019207,0.001725081401185299,6
tanh,"(100,)",adaptive,267.2995171070099,0.9240970411803063,0.0024049196311761757,7
tanh,"(100,)",constant,352.2428329944611,0.9238045077475988,0.0015592774006949735,8
tanh,"(64, 32)",constant,214.51581258773803,0.9230940800834952,0.002305071646724709,9
tanh,"(64, 32)",adaptive,214.91717586517333,0.9228572627769213,0.0010659094363993588,10
tanh,"(100, 50)",constant,327.15377774238584,0.9222025939288401,0.0011594217290447138,11
tanh,"(100, 50)",adaptive,332.6793146133423,0.9220633016730565,0.001579285821751236,12
