param_activation,param_hidden_layer_sizes,param_learning_rate,mean_fit_time,mean_test_score,std_test_score,rank_test_score
relu,"(100,)",adaptive,366.145139837265,0.9248353269074766,0.001708288837280647,1
relu,"(100,)",constant,362.77986369133,0.9243199221786614,0.0015109347338390223,2
relu,"(64, 32)",constant,233.13868103027343,0.9240274042695497,0.00176192118726278,3
relu,"(100, 50)",constant,353.31924161911013,0.923985594374668,0.0010204203858142457,4
relu,"(64, 32)",adaptive,230.67271161079407,0.923790582111852,0.0014240599815089306,5
relu,"(100, 50)",adaptive,346.5358211994171,0.9233866309802483,0.0017509008676541015,6
tanh,"(100,)",constant,361.6974199295044,0.9225369062092375,0.0012129666722672414,7
tanh,"(100,)",adaptive,308.97529458999634,0.9225229834841651,0.001454915639673729,8
tanh,"(64, 32)",adaptive,228.32906637191772,0.9220215150635687,0.0015653463803972833,9
tanh,"(64, 32)",constant,226.87706608772277,0.9217429150284058,0.00150623924349903,10
tanh,"(100, 50)",adaptive,345.0964554309845,0.9214225468180253,0.0021398568891003193,11
tanh,"(100, 50)",constant,354.0714754104614,0.9211857421243728,0.0017526191730061428,12
