param_activation,param_hidden_layer_sizes,param_learning_rate,mean_fit_time,mean_test_score,std_test_score,rank_test_score
relu,"(100,)",constant,366.6150124549866,0.9240134728124545,0.0017312175380285492,1
relu,"(64, 32)",adaptive,216.73417382240297,0.9238741776459968,0.00183875336702553,2
relu,"(100,)",adaptive,352.80082149505614,0.9234841424478925,0.0018434008382421548,3
relu,"(100, 50)",constant,288.3511972427368,0.9233448434005356,0.0016960082508187548,4
relu,"(64, 32)",constant,218.4525176525116,0.9231776649451678,0.001659597480073853,5
relu,"(100, 50)",adaptive,336.36249389648435,0.9227040885455043,0.00242444638733859,6
tanh,"(100,)",constant,374.0693941116333,0.9226483646575728,0.0020329158098124013,7
tanh,"(100,)",adaptive,297.42938923835754,0.922467265417582,0.001448057964694034,8
tanh,"(64, 32)",constant,211.75780854225158,0.9217290087971539,0.002116792476154076,9
tanh,"(64, 32)",adaptive,221.31046910285949,0.921673259683379,0.0015174816529606328,10
tanh,"(100, 50)",adaptive,338.73883028030394,0.9211021456200033,0.0015687027555502224,11
tanh,"(100, 50)",constant,346.03359866142273,0.9202663852937292,0.0018276520491110591,12
