id,class_label,entities
1,1,PERSON PERSON PERSON PERSON PERSON PERSON LOC PERSON NORP NORP GPE ORG ORG ORG MONEY
2,1,DATE DATE DATE CARDINAL NORP
3,1,ORG ORG ORG
4,1,PERSON PERSON PERSON PERSON ORG LOC NORP ORG ORG ORG ORG ORG ORG CARDINAL MONEY ORG ORG ORG ORG PERSON PERSON
5,1,NORP GPE NORP ORG ORG
6,1,GPE NORP PERSON
7,1,NORP GPE LAW LAW PERSON
8,1,MONEY PERSON PERSON PERSON ORG ORG ORG ORG MONEY MONEY MONEY WORK_OF_ART
9,1,
10,1,PERSON PERSON NORP NORP NORP GPE
11,1,PERSON PERSON PERSON CARDINAL NORP DATE DATE PERSON
12,1,DATE TIME TIME NORP ORG NORP
13,1,NORP NORP GPE
14,1,NORP NORP
15,1,NORP DATE DATE DATE DATE DATE ORG ORG ORG MONEY
16,0,PERSON PERSON PERSON NORP NORP ORG ORG ORG PERSON
17,1,NORP PERSON PERSON PERSON PERSON PERSON ORG GPE MONEY ORG
18,1,ORG CARDINAL NORP GPE
19,1,GPE PERSON NORP NORP
20,1,NORP NORP
21,0,PERSON PERSON PERSON PERSON PERSON CARDINAL CARDINAL NORP CARDINAL ORG CARDINAL NORP
22,1,CARDINAL CARDINAL NORP
23,1,NORP PRODUCT CARDINAL CARDINAL CARDINAL ORG
24,1,ORG ORG ORG ORG ORG ORG CARDINAL NORP LOC ORG
25,1,LAW LAW LAW CARDINAL NORP
26,1,NORP
27,1,DATE DATE NORP
28,1,ORG ORG ORDINAL PERSON NORP
29,1,PERSON ORG DATE DATE DATE NORP CARDINAL ORG
30,1,PERSON CARDINAL CARDINAL NORP PERSON PERSON PERSON CARDINAL GPE PERSON PERSON
31,1,PERSON PERSON PERSON NORP
32,1,CARDINAL NORP
33,1,GPE MONEY MONEY ORG PERSON NORP
34,1,ORG NORP DATE DATE DATE ORG CARDINAL
35,1,NORP GPE CARDINAL PERSON ORG
36,1,DATE DATE DATE DATE CARDINAL NORP ORG DATE DATE DATE
37,1,NORP CARDINAL NORP DATE DATE
38,1,PERSON ORG NORP
39,1,NORP GPE ORG ORG CARDINAL CARDINAL CARDINAL PERSON DATE
40,1,ORG ORG CARDINAL CARDINAL CARDINAL NORP PERSON
41,1,CARDINAL NORP ORG ORG
42,1,PERSON PERSON DATE DATE PERCENT PERCENT NORP NORP NORP
43,1,CARDINAL NORP
44,1,PERSON PERSON CARDINAL NORP GPE CARDINAL
45,1,NORP PERSON ORG ORG DATE
46,1,ORG CARDINAL NORP
47,1,CARDINAL CARDINAL ORG ORG ORG ORG ORG
48,1,PERSON ORG CARDINAL NORP CARDINAL CARDINAL
49,0,ORG DATE DATE ORG NORP PERSON
50,1,ORG ORG GPE CARDINAL CARDINAL NORP DATE DATE DATE DATE ORG
51,1,ORG CARDINAL CARDINAL NORP CARDINAL
52,1,DATE DATE NORP PERSON
53,1,PERSON PERSON PERSON PERSON NORP EVENT EVENT EVENT CARDINAL ORG ORG ORG
54,1,ORG ORG ORG NORP NORP
55,1,NORP NORP
56,0,PERSON PERSON PERSON PERSON LOC PERSON NORP NORP GPE ORG ORG ORG MONEY
57,1,ORG ORG ORG NORP WORK_OF_ART
58,1,NORP
59,1,NORP
60,1,NORP ORG ORG ORG PERSON
61,1,NORP NORP ORG CARDINAL
62,1,NORP GPE NORP
63,1,NORP
64,1,CARDINAL NORP
65,1,PERSON PERSON PERSON PERSON PERSON ORG ORG PRODUCT ORG ORG ORG ORG ORG ORG CARDINAL MONEY ORG ORG ORG ORG PERSON PERSON
66,0,CARDINAL CARDINAL NORP
67,1,NORP PERSON
68,1,PERSON PERSON PERSON NORP ORG ORG NORP
69,0,DATE TIME ORG ORG ORG ORG CARDINAL NORP
70,1,PERSON PERSON NORP ORG
71,1,GPE CARDINAL NORP MONEY GPE GPE PERSON PRODUCT ORG
72,1,CARDINAL CARDINAL CARDINAL NORP DATE DATE DATE ORG ORG ORG DATE DATE GPE
73,1,NORP NORP
74,1,CARDINAL CARDINAL NORP CARDINAL NORP CARDINAL PERSON
75,1,GPE NORP ORG ORG PERCENT PERCENT ORG
76,1,NORP NORP LAW ORG ORG
77,1,PERSON NORP NORP GPE ORG PERSON PERSON DATE DATE DATE
78,1,PERSON CARDINAL NORP GPE GPE PERSON
79,1,NORP NORP GPE GPE GPE NORP
80,1,ORG ORG NORP DATE DATE PERSON PERSON
81,1,CARDINAL NORP GPE CARDINAL ORG CARDINAL CARDINAL GPE
82,1,PERSON PERSON PERSON PERSON PERSON PERSON PERSON LOC PRODUCT ORG ORG ORG ORG ORG ORG CARDINAL MONEY ORG ORG ORG ORG PERSON PERSON
83,1,CARDINAL NORP PERCENT PERCENT PERCENT PERCENT GPE
84,1,NORP PERSON PERSON PERSON NORP PERSON NORP
85,1,PERSON DATE DATE ORG ORG ORG ORG ORG ORG ORG NORP GPE NORP PERSON PERSON
86,1,ORG DATE DATE NORP NORP MONEY MONEY MONEY
87,0,NORP CARDINAL NORP MONEY MONEY MONEY ORG DATE
88,1,PERSON GPE NORP PERSON
89,1,CARDINAL CARDINAL NORP EVENT EVENT DATE
90,1,PERSON NORP DATE CARDINAL NORP
91,1,NORP MONEY MONEY MONEY NORP
92,1,NORP ORG
93,1,DATE DATE CARDINAL ORG ORG ORG NORP GPE CARDINAL ORG CARDINAL ORG
94,1,CARDINAL NORP
95,1,ORG ORG ORG ORG CARDINAL LOC NORP
96,1,NORP
97,1,ORG ORG ORG GPE CARDINAL NORP
98,1,ORG ORG PERCENT PERCENT NORP
99,1,CARDINAL CARDINAL CARDINAL CARDINAL NORP PERSON
100,1,NORP
101,1,DATE ORG GPE GPE CARDINAL NORP NORP
102,1,NORP PRODUCT DATE DATE DATE
103,1,PERCENT PERCENT NORP
104,1,CARDINAL CARDINAL CARDINAL NORP DATE DATE
105,1,ORG ORG ORG ORG ORG ORG ORG ORG ORG ORG NORP
106,1,ORG ORG ORG NORP PERSON ORG NORP
107,1,ORG ORG ORG NORP
108,1,NORP NORP NORP NORP PERSON
109,1,ORG ORG ORG NORP GPE
110,1,ORG ORG ORG ORG ORG DATE DATE CARDINAL NORP ORG DATE DATE
111,1,GPE NORP PERSON
112,1,ORG ORG ORG NORP PERSON ORG ORG ORG ORG ORG PERSON
113,1,PERSON PERSON PERSON
114,1,CARDINAL ORDINAL MONEY MONEY MONEY ORG ORG ORG CARDINAL NORP
115,1,NORP
116,1,ORG ORG ORG ORDINAL ORG NORP NORP
117,1,ORG ORG ORG ORG NORP
118,1,NORP GPE ORG ORG ORG ORG ORG ORG ORG ORG
119,1,GPE NORP
120,1,ORG ORG ORG DATE DATE CARDINAL NORP DATE DATE DATE DATE CARDINAL ORG ORG ORG
121,1,ORG ORG NORP GPE
122,1,DATE DATE GPE NORP
123,1,CARDINAL NORP
124,1,PERSON PERSON CARDINAL NORP NORP PRODUCT ORG
125,1,DATE DATE CARDINAL NORP DATE DATE PERSON
126,1,NORP NORP ORG
