id,class_label,pos
1,1,NNP NNPS NNP NNP NNP NNP NN VB IN NNS VBG NNPS IN NNP VBG DT NNP NNP NN VBG NN NN NNP IN NN JJ NNP NNPS NN IN NNP NNP WP VBD PRP VB
2,1,RB IN JJ NNS VBP RB VBG CC IN IN DT NNS IN PRP VBD IN DT NN VBZ RB NN JJ RB VBD VBG DT NN NN VBG TO VB NNS IN NNPS JJ VB RP IN DT NN NN
3,1,DT NNP NN VBZ VBG IN JJ JJ NN NNS CC IN JJ VBG NNS IN VBG DT NN NN IN DT JJ WDT VBZ RB RB RB NNS VBP JJ IN RBR JJ NNS
4,1,NNP NNPS VBN NN NNS NNP NNP NN NNPS IN NN NNP NNPS NNP NNP DT NNP NNP NN VBG NN NN NNP IN NN NNP NNPS IN NNP NNP NNP NNP NNP
5,1,PRP VBP DT NN IN NNS RB RB VBZ JJ JJ NN NN VBG IN DT NN NN NN IN NNP JJ NN IN NNS VBP IN IN NNPS VBG VBN IN NNP NNP
6,1,PRP VBN DT RB CC PRP RB VBZ RB DT NN IN WDT NNP VBZ RB VBN RP DT NNS WDT VBP RB VBG JJ NNPS IN JJ NNS NN IN VB IN DT NN NN IN NN NN
7,1,IN JJ NN VBD NN NNS NNPS MD VB IN DT NN NN VBD RB DT JJ CC RB DT NN IN DT NN IN JJ NN IN DT VBG RB NNS MD VB VBG NNP NN CC JJ NNS
8,1,NNP NNP NNS NNP IN NNS IN DT NNS NNP VBN NNP
9,1,PRP$ DT NN IN NN RB JJ IN VBG NN PRP MD VB DT RB RB WP IN IN NN IN NN NN
10,1,EX VBZ RB CC RB VBZ VBN NN NNS IN DT NN NNP NNP VBZ RB VBN NNPS VBP RB VB NN NNS NN NN NN CC NN CC NN NN DT VBZ WRB PRP CC DT NNPS VBP PRP DT VB UH IN DT NNP VBD NNP
11,1,VBG NN NNP NNP VBZ NNP NNP IN VBG NN IN VBG DT NN NN WDT MD VB NNS IN NNPS IN VBG VBN RP IN DT NN DT NN NNP IN PRP VBP IN NNP VBZ DT JJ NN
12,1,VBD NNP VBD DT JJ NN NN NN CC VBD JJ NN TO VB IN NNPS PRP$ JJ NNS NNP VBD NNPS TO VB CC PRP VBD RB VB JJ NNS
13,1,WRB VBZ NN IN PDT DT NN IN DT TO VB PRP RB DT NNP NN RB JJ NN IN NNPS RB RB PRP RB VBZ NNP NNS NNP CC PRP$ JJ NNS IN NN DT NNS DT JJR NN IN NN DT RBR NN NN NNP JJR NNS IN PRP RB
14,1,DT NN NN DT NN NN DT JJ VBG NNS TO VB VBN CC RB PRP VBP DT DT NN VBZ VBG RB VBN NNPS RP IN NN IN VBG PRP TO VB RB NN NNS NNP IN NNS VBP VBG DT NN CC VBG PRP
15,1,DT NN IN DT NN NN VBZ RB DT NN PRP VBD RB WRB JJ NNPS VBD RB VBN IN DT JJ NN IN NNS RB DT NN VBZ RB VB DT NNS NN DT NNP NNP VBD TO VB DT JJ NN IN
16,0,NNP VBD VB TO VB NN NNP VBD TO JJR IN DT NN CC PRP MD VB NNP NNPS TO VB PRP VBD DT NNP NNP WDT VBD DT NN NN IN DT NN DT NNP NNP NNP DT NNP JJ NN
17,1,NNS VBP IN PRP$ NNS NN NN NNPS RB NNP NNP NNP NNS MD VB IN JJ NN IN NNP NNP NN NN NNP JJ NN NN DT NN IN NN NN NNS CC NN NN CC VB IN NNP RB
18,1,PRP$ NN NN VBD VBN JJ CC RB MD PRP$ NN NN VBG DT NNP TO VB CD NNPS VBZ JJ PRP VBD DT NNS IN NNP
19,1,NNP NN VBZ TO VB NNP IN JJ NN TO VB DT NN NN DT NN NNP WDT VBZ VB IN NNPS WP VBP VBG NN PRP VBP VB PRP$ NNS TO VB CC VBP VB PRP VBG RB CC IN DT NNS
20,1,NNP NN VBD JJ NNS JJ WP VBP NNP NNPS
21,0,NNP VB WRB NNP NNP VBD NNP MD VB RB RB NNP VBD RP IN RB JJ NNPS IN PRP$ NN NNS VBN RP IN PRP$ NNS NNP NNP VBD TO VB DT NN NN IN DT CD NNPS MD RB VB JJ WRB NN VBD DT
22,1,PRP RB VBD CD NNPS IN IN NN IN DT VBG NN IN DT JJ NN NN IN NN IN IN PRP$ NN NN IN JJ NN NN
23,1,IN NNPS VBP TO VB RP NNP VB NNP NNS CC NNS IN NNS MD VB DT NN DT NNS VBN DT NNP VBZ DT JJ NN CC VBZ VBG NN NNP PRP VBP NNP NNP TO VB NN CC DT NNP TO VB PRP$ NN VBZ RB RB RB
24,1,NNP NNP NNP PRP VBP RB JJ IN DT NNP NNPS VBG IN DT NNP NN NN IN DT NN DT NNP VBZ VBN NNS IN NNPS IN NN IN VBG PRP$ NNS RB IN DT NNP NN VBZ PRP$ NN IN NN IN
25,1,UH DT JJS NN IN NNS IN NNPS VBG DT IN NNS RB RB VBZ DT NN NN NN NNP NNP MD PRP VB RBR JJ IN DT JJ NN WDT PRP$ NN VBG VBZ IN PRP NNS IN DT NN
26,1,NNP VBZ JJ IN DT NN NN NN CC NNPS VBG VBN DT NNS IN NN PRP VBZ VBZ IN NNS VBN NNS CC NNS JJ NNS IN NN
27,1,IN NN VBZ VBG RB RB WRB VBD PRP VB TO VB DT NN NN CC VB JJ NNS IN DT NN NN NN JJ NN VBZ VBG TO VB WRB JJ NNPS VBP VBN CC RB MD VB NNS RB IN VBG DT NN RP
28,1,NNP VBZ VBN DT NN RB IN PRP$ NN IN NN IN NN VBN NN RB DT RB JJ NN IN DT NN NN DT NN PRP RB VBD DT MD VB JJS NNPS IN PRP MD VB DT JJ JJ NNS TO VB PRP
29,1,DT NNP VBD RP DT NNP NN NN WDT RB MD VB IN DT JJ JJ NN IN DT JJ NN DT NN IN NNPS VBN IN VBD NNP VBZ TO VB PRP$ NNS VBP VB IN PRP VBP VBG NNS
30,1,CC PRP DT CD NNPS WP VBD PRP$ NNS VBN IN PRP WDT VBP PRP$ NNS RP DT NNP NNP VBZ VBN NNP NNP IN VBZ NNS PRP VBZ TO VB DT NN NN NNS PRP VBP JJ NNP NNP NNP NNP NNP
31,1,NNP NNP NNP NNP NNP VBZ PRP$ NN IN DT JJ NN IN NN IN DT NNP NN VBZ RB VB DT NN NN NNPS VBP VBG NN NNS IN NN IN DT JJ
32,1,DT NN NN NN MD RB VB DT NN NN IN IN DT NN IN NNS WDT VBP IN NN IN VBG VBN RB NNS IN NNPS MD VB PRP$ NNS IN DT JJ NN IN DT NN NN VBZ VBG DT MD VB RB JJ
33,1,PRP NNS VBP JJ VB NNP WRB DT CD NN NN VBZ NN VBZ PRP$ CC PRP VBZ RB VBG NN JJ IN PRP$ NN RB DT NN NN VBZ DT WP VBP IN NNP RB RB RB NNP VBD DT NN JJS NNPS WP VBP VBD
34,1,DT NN NN NN CC JJ NNP VBG VBN IN DT NN MD VB NNPS TO VB IN PRP$ NNS DT JJ NNS RBR CC DT NNP MD VB PRP TO VB NNS JJ IN NNS PRP VBP DT VBP DT NNS VBN TO VB PRP IN DT NN
35,1,IN DT NN VBG NNPS IN NNP VBG DT NN RB JJ VBG NNS CC VBG IN PRP RB VBG DT NN NN VBG NNP VBP IN DT NN IN DT NN IN DT NNP DT JJ CD IN DT VBZ JJ
36,1,IN DT JJ JJ NNS VBD DT NN NN VBG TO VB NNS IN NNPS VBN IN VBD DT NN VBG NN NN VBZ VBN IN NNS RB RB VB DT NN VB JJ NNS
37,1,JJ NNPS VBD NN TO VB VB DT NN NN CC RB PRP VBN DT JJ NN IN NNS IN NNPS IN IN DT JJ NN CC RB PRP VBP TO VB NNS IN RB VBG NNS IN DT CD NN JJ NN NN
38,1,DT JJ NN NN VBZ DT JJ NN VB NN VB NN NN VBZ JJ NNP CC NNP VBD VBG PRP RP CC PRP RB VBP VB DT NNS IN DT NN NNPS NN NN JJ NN
39,1,NNP NNPS IN NNP RB RB VBZ NNP NNP IN NN NNP JJ NNS VBG NNS IN NNS IN NNS IN IN DT NNP NN CC PRP$ JJ NNS NN FW
40,1,JJ NNS NNP NNP VBZ NN NNP JJR IN NNPS VBP VBN IN NNP IN DT NN VBD
41,1,PRP VBP PRP$ NNS WP MD VB IN PRP VBN IN NN VBG IN DT JJ NN WP MD VB VBN IN DT VBG NN CC VBP JJ TO VB IN NNS IN NNPS VBG VBN IN NNP VBD VB NNP NNS CC DT NN NN
42,1,NNP NNP VBZ DT NN NN MD VB VBN NNS CC VB IN NNPS WP VBZ DT NN IN VBG PRP IN DT NN VBZ RB CC PRP VBG DT NNPS WRB VBP NNPS VBP TO VB NNS DT NN
43,1,IN NN DT NN VBZ DT NN IN DT NNS IN NNPS WDT RB VBP DT NNS IN NN IN DT VBG NN NN NN
44,1,NNP VBD DT NN VBD DT NNS IN NNS IN NNPS IN NNP IN NN VBD NNS IN JJ NNS VBP DT JJ NN CC VBD DT NN IN DT NN NN PRP DT JJ NN CC DT JJ NN VBZ VBG IN PRP NNP PRP$ NNS
45,1,DT NNPS RB VBP IN DT NNP VBZ DT JJ NN TO VB JJ NN IN DT IN NN NNP JJ NN IN NNP NNP NN VBZ DT NN PRP IN NN RB CC PRP VBZ PRP MD VB VBN IN JJ NN NNS VBP VBN
46,1,PRP VBD DT JJ CC JJ NN IN NN VBG TO VB DT NNP NN NN NN RB NNS IN NNPS VBP IN NN IN NN IN DT VBG NN PRP VBP JJ
47,1,NNP NNP CD CD NNS MD VB PRP$ NN NNS NNP VB NNP NNP RB NN IN DT JJ NNP NNP NNP NNP TO VB
48,1,NNP RB VBD VBG NN NN VBN NNP NNS VBN IN DT NN RB RB IN NN NNS VBD PRP$ DT VBG NN IN DT NN VBD NNPS VBN RB IN NN IN PRP VBD DT NN NN RB TO VB PRP VBD PRP IN
49,0,NNP NNP RB VBD PRP$ NN NN DT NN NN MD VB DT IN WP PRP VBZ RB RB DT JJ NN CC DT NN IN DT JJ NN IN JJ NN NNPS MD VB RP IN DT JJ NN NNP
50,1,NNP NNP VBZ VBN NNP NNP NNP NNP VBG PRP TO VB IN DT NN CD NNPS VBP NN IN DT JJ CD NNS
51,1,NNP IN DT NN IN DT NNP NN NN VBG CC NNS IN JJ NN RB TO VB VBN NNS IN NNPS VBP IN DT JJ NN VBZ NNS NNS NNS MD VB TO VB IN
52,1,PRP VBD RB JJ IN DT JJ NN IN NNP WDT PRP VBD TO VB PRP$ NN CC VB NNPS IN VBG DT NN NN PRP VBP TO VB VBG PRP$ NN IN NNP IN PRP VBP RB VBG PRP$ NN
53,1,NNP NNP VBG DT NN IN NN IN PRP$ JJ NN NNP NNP NNP WP VBD NNPS IN DT NNP NNP TO VB PRP$ NNS CC VB VB VBD TO VB NNP NNP NN TO VB DT NNP NNP
54,1,PRP VBZ RB VB DT NN TO VB DT NN NN IN DT NNP NNP VBD PRP JJ CC PRP VBZ VBG PRP WRB VBP NNPS VBG IN DT NN VBZ TO VB RB IN PRP VBP RB VB PRP VBZ JJ TO VB PRP NNPS VBP TO VB DT NN
55,1,RB VB PRP VB TO VB DT JJ NN CC IN DT NN IN DT JJ NN EX VBZ DT NN NN IN NN TO VB NNPS IN VBG VB RP IN DT NNS VB PRP$ RB IN VBG NNPS CC VBG DT JJ NN
56,0,NNP NNPS NNP NNP NNP NNP NN VB IN NNS VBG NNPS IN NNP VBG DT NNP NNP NN VBG NN NN NNP IN NN NNP NNP NN IN NNP NNP WP VBD PRP VB
57,1,NNP VBZ NNP NNP RB VBD RP NN IN NNPS IN PRP$ JJ CC JJ NN TO VB NN NNP WRB VB PRP RB VB DT NN NNP PRP VBZ DT NN IN JJ NN VBP NN
58,1,DT NN NN MD RB VB DT PRP VBZ VBN TO VB VBG IN VBG NNS TO VB JJR NN NNS CC JJR NNS IN JJ JJ NNS DT NN MD VB RBS JJ IN JJR NN NNPS
59,1,DT NN NN VBZ VBN IN NN IN RB EX VBP RB JJ NNPS IN NN IN VBG PRP$ NNS IN JJ NNS RB VBG IN DT NNS TO RB VB DT NN NN
60,1,IN RB JJ NNPS VBP VBG TO VB NNS IN PRP$ NNS IN NNP NNP NNP NN CC RB VBG TO VB NNS CC VB IN JJ NNP NNS VBG TO VB VBN CC VB VBN IN PRP$ NN NN
61,1,NNPS VBD PRP VBD JJ VBG TO VB NNPS RB IN NN IN VBG DT NN NN NN VBG NNP MD VB VBN DT JJ NN WDT VBZ RB RB NN CC MD RB VB NNS IN JJ NNS
62,1,IN DT NN IN DT NNP NNP VBG RP DT NN NN PRP VBG IN NNPS WP DT IN DT JJ NN IN NN IN NNP CC VBP VBG IN PRP VBZ RBR JJ IN VBG JJ NNS MD VB DT JJ NN
63,1,MD PRP VB JJ TO VB DT NN IN DT NN NN TO VB PRP RB DT NNS VBP VB PRP RB VBP DT IN PRP$ NN IN DT NN RB VB DT NN IN DT NN NN NNPS VBP PRP TO VB PRP$ NN VB DT NNP RP
64,1,NNP VBG NN NN NN WDT VBZ RB VBG NN NN NN VBG NN IN JJ NN NN CC VBG IN PRP VBD RB VB PRP VBD TO VB NN IN NN NN VBG DT NN IN NN NN WP VBZ NN IN NNS IN JJ NNPS
65,1,NNP NNPS NNP VBN NN NNS NNP NNP NN NNP NN IN NNS NNP NNPS NNP NNP DT NNP NNP NN VBG NN NN NNP IN NN NNP NNPS IN NNP NNP NNP NNP NNP
66,0,UH PRP RB VBP VB NN VBZ TO VB JJ RB IN DT NN PRP NN PRP DT MD VB RBR RB IN RB NNP PRP VBD DT NN NN CD NNPS VBP RB IN NN PRP IN DT NN IN DT NN
67,1,DT NN VBZ IN DT NN NN VBZ NNPS WP VBP VBG TO VB PRP$ NNS IN DT JJ NN WDT NN VBD CC VBN IN PRP$ NN IN DT NN DT NN RB VBZ NNS WP VBP TO VB DT NN TO VB NNS
