id,class_label,entities
4501,1,DATE DATE DATE DATE
37788,1,GPE PERSON PERSON CARDINAL CARDINAL CARDINAL GPE CARDINAL
40232,1,ORG PERSON PERSON PERSON PERSON NORP PERSON
77653,0,PERSON PERSON NORP PERSON
27757,0,PERSON PERCENT PERCENT PERCENT PERCENT GPE PERCENT PERCENT PERCENT PERCENT
54727,0,ORG
55987,0,ORG NORP
77047,0,0
33005,0,DATE DATE DATE DATE CARDINAL CARDINAL DATE DATE DATE DATE DATE DATE DATE DATE
82244,0,PERSON PERSON GPE PERSON PERSON WORK_OF_ART WORK_OF_ART WORK_OF_ART WORK_OF_ART
53288,0,ORG PERSON PERSON PERSON
41295,1,PERSON PERSON PERSON GPE ORG ORG ORG ORG ORG ORG ORG
1124,1,CARDINAL NORP GPE CARDINAL CARDINAL ORG MONEY MONEY MONEY PERSON
76924,1,NORP NORP NORP ORG ORG ORG PERSON PERSON
65803,0,ORG PERSON GPE PERCENT PERCENT
53341,0,PERSON PERSON ORG ORG LANGUAGE LANGUAGE PERSON PERSON
12578,1,GPE PERSON PERSON DATE DATE
61125,0,CARDINAL CARDINAL PERSON
30218,0,LOC LOC LOC GPE GPE
22850,1,PERSON
21984,1,PERSON PERSON PRODUCT PRODUCT PRODUCT PRODUCT PRODUCT NORP ORG DATE PERSON PERSON ORG
6060,1,PERSON PERSON DATE
48193,0,GPE ORG
26332,1,ORDINAL NORP NORP ORG
12165,1,PERSON PERSON ORG
34156,0,GPE GPE GPE PERCENT PERCENT DATE CARDINAL CARDINAL
10687,1,GPE GPE
32914,0,PERSON PERSON PERSON PERSON NORP DATE DATE DATE DATE DATE
40135,1,0
72418,0,DATE WORK_OF_ART WORK_OF_ART WORK_OF_ART CARDINAL CARDINAL NORP NORP
7791,1,GPE GPE ORDINAL
21681,1,ORG ORG ORG ORG ORG PERSON ORG ORG DATE DATE DATE DATE ORG ORG PERSON GPE
64331,0,PERSON ORG PERSON
57917,0,DATE DATE DATE PERSON PERSON PERSON PERSON PERSON PERSON
61476,0,PERSON PERSON PERSON PERSON DATE DATE DATE DATE DATE GPE
35014,0,DATE DATE DATE DATE ORG ORG ORG DATE DATE
27889,0,PERCENT PERCENT PERCENT PERCENT PERCENT CARDINAL PERCENT PERCENT ORDINAL ORG ORG
59420,0,PERSON PERSON
