id,class_label,pos
4501,1,RB DT NN VBZ TO VB DT NN IN IN NN NN NNS VBP VBN TO VB UH VB DT NN WRB NNP VBD IN DT JJ NNS VBG NN IN PRP VBD DT NN NN CC VBG NN RP WDT VBP RB VB PRP PRP VBP PRP VBP DT VBN IN DT NN PRP$ JJ NNS
37788,1,NNP JJ NNS DT NN IN DT NN NN RB VBD JJ NNS DT NN IN IN DT NN NN VBG JJ NNS CC VBG NN EX VBP JJR IN NNS IN NNP NNP RB VB DT IN IN DT JJ NNS
40232,1,DT JJ NN IN NNP NNS IN IN DT JJ NN NN IN NN NN NN VBG IN JJ JJ NNS DT JJ IN JJ NN IN NNPS VBP PRP WRB DT NNP VBZ RB RB TO VB VBG WP PRP VBG VBP NNS CC NN
77653,0,NNP VBD DT NN PRP VBD NN RB JJ TO VB DT JJ NNS CC RB PRP VBZ DT NN WRB VBZ NNP IN VBG DT NN UH PRP VBD PRP VBZ IN PRP$ NN
27757,0,WRB IN PRP RB VBP NN NNS IN PRP$ NN NNS PRP VBP DT JJ TO VB JJR NN IN IN PRP MD VB JJR NNS IN DT NN DT JJ VBD IN DT NNS IN DT NNP DT JJ VBD JJR NNS IN DT NN WDT VBZ PRP VBN
54727,0,DT VBZ JJ IN RB JJ NNS IN JJ NNS VBP RB VBN NNS PRP MD RB VB PRP VB NNS NNS CC VBP PRP CC PRP VBP RB NNP MD VB RB
55987,0,DT NNP RB NN VBZ TO VB PRP$ JJ IN NNS CC PRP$ NNS TO VB RB IN NN NNS DT NN VBD NNP IN NN VBP VBG RP IN DT JJ NN IN DT NN IN DT NNS CC PRP$ NNS
77047,0,RB WRB MD PRP VB NNP NNP PRP VBP DT WDT PRP VBP TO VB PRP MD VB VB NNS VB PRP$ NN VBP PRP$ NNS VB PRP$ JJ NN
33005,0,PRP VBN VBG DT NN IN WRB JJ DT JJ NNS VBP VBN IN CD NNS WP RB VBD NNP VBD DT JJ NN CC PDT DT NNS IN NN NN NN NN FW VBD VBG TO VB VBN JJ IN NNP CC NNP CC NNP
82244,0,NN NN IN PDT DT NNS PRP VBP NNP NNP NNP VBD RB VB DT NNP IN NNP
53288,0,VBD NNP NNP NN VBP IN PRP IN PRP$ NN
41295,1,PRP VBP VB DT NN RB PRP VBG RP VBN JJ NN JJ NN NNP NNS NNS NNS JJ NNS DT NN IN DT NNP NN NNPS NNP NNS NNP NNP NNP NNP NNP RB JJ NNS NNP NNS
1124,1,RB JJ NNS IN NNPS VBP VBN IN NNP IN VBP VBN VBN NN CC DT NNP VBD VBN CD IN NNS NN IN JJ JJ NN PRP VBP TO VB WP RB NNP NNP VB PRP IN VB DT JJ NN
76924,1,DT NN IN PRP DT VBZ JJ WRB DT JJ NN VBZ DT NNPS VBP VB NN PRP VBP DT IN DT NN TO VB PRP$ NN RB NNP NNP VBP NN PRP VBP IN PRP NNP NNP WRB VBN IN PRP$ NN IN NN VBZ VBG
65803,0,DT NNS VBP NN TO VB IN NNP PRP VBD VBZ DT NN TO VB IN NNS CC NN VB DT NN IN PRP VBZ PRP MD VB PRP$ NN IN VBG VBN JJ PRP$ DT IN VBG PRP$ NN NNP VBZ JJ
53341,0,PRP VBP VBZ IN NN NNS VBP RB VBN IN NNP NNP DT NN VBN TO VB NNS IN NNP NNP NN IN NNP CC NNP IN NNP NN VBD DT JJ NN IN NNP PRP VBD DT NN
12578,1,NNP JJ NN CC NNP NNP DT JJ NNP NNP VBZ VBN VBG NN NNS IN PRP$ JJ NN IN NN NNS IN IN NNS RB JJ NN
61125,0,PRP RBR JJ IN DT CD NNS IN DT NNP NN RB VBN VBN
30218,0,PRP VBP RB JJ IN DT NNP NNP CC NNP NN WDT VBZ PRP VBP RB RB JJ IN PRP VBP RB VB IN DT NN IN DT NN CC MD RB VB RB IN VBG IN NNS IN NN RB VBG DT NN IN NNS VBZ RBR RB DT NN IN NNP
22850,1,UH PRP VBP NNS WP$ NNS VBP JJ CC RB IN NNS IN IN NNP CC PRP VBP RB IN DT JJ NN NN RB JJ TO VB RB MD PRP VB JJ RB PRP VBP CC MD RB VB
21984,1,DT NNP NNP IN DT NNPS VBD RP NNP IN DT JJ NN VBZ VBN JJR NN NN NNS IN NNP NNP PRP VBZ DT IN VBG RB JJ CC IN VBG PRP$ NN IN DT NNP TO VB JJ JJ NNS
6060,1,VBZ IN DT PRP VBP JJ IN IN PRP VBP JJ NNP NNP IN NNP VBD NN IN NN MD VB VBN VBG PRP$ NN RB IN DT NN IN NN IN DT NN MD VB DT NNS NN VB
48193,0,NNP VBZ JJ NN UH
26332,1,JJ NN VB VB NNP IN JJ NNPS IN NN IN VBG PRP IN DT JJ NN
12165,1,NNP NNP VBD NNS IN NNP PRP MD VB IN NN
34156,0,RB NNP NN IN NN NNS IN NNP NNP NNP IN DT NNP NNPS NNP NNS RB VBN NN IN NN NN VBZ VBG IN IN NNS IN NN CC IN NNS IN
10687,1,WRB IN RB VBG DT JJ NN NNP NNP VBZ DT JJ JJ NN IN JJ NN CC PRP VBP TO VB JJ NN NNS IN DT JJS NNS NNS
32914,0,NNP NNP MD VB NN IN JJ NN NN PRP MD VB DT NN IN NNP NNP CC DT NNPS CC PRP$ NN MD NNP VB VB DT JJ JJ NNS IN JJ NNS PRP$ NN MD NN VB IN NNP
40135,1,DT RB IN PRP PRP VBD NN NN CC NN NNS RB VBP PRP VB NN NNS
72418,0,IN NNP CC NNPS VBD DT JJ CD JJ NNS TO VB JJ JJ NNS WDT VBD DT JJ NN IN VBG NN NNS NNPS VBP TO VB WP DT VBZ CC PRP RB VBZ VB VBG VBN IN NNS VBZ JJ
7791,1,NNP NN NNP VBZ IN DT NN IN NN IN NN
21681,1,NN JJ NNP JJ WDT NNP VBD IN DT NNP IN NNP VBP NNS IN NNP VBN RP IN NNP IN NN IN NNP VBG IN DT JJ NNP JJ NN NN IN NNP VBG NNS IN NNP NN IN WDT PRP VBD PRP RB NNP
64331,0,DT NNS VBG DT NN VBP DT JJ JJ NNS WP VBD DT NNP NN DT VBZ DT NNP NN DT VBP NNP NNS CC JJ NN VBG WRB JJ NN PRP VBP IN NNS NN
57917,0,JJ NN IN NNS CC NNS PRP VBP IN DT NN IN PRP$ JJS NN WDT MD VB DT JJ NNS IN NNP NNP NNP NNP CC NNP NNP PRP VBP IN RB NNP VBZ PRP IN NNS
61476,0,DT NN VBZ DT JJ NN UH PRP VBD RB NNP NNP VB RB PRP VBP VBN IN NNP NNP NN NNP CC NN NNP NNP VBZ PRP$ RB JJ NNP RB IN PRP VBP VBN IN PRP MD VB IN DT JJ NN WP DT NN VBZ
35014,0,NNP MD VB RB RB RB PRP VBD NNS CC NNS IN NNP PRP VBD VBN IN DT NN IN JJ NNS IN NNP PRP VBD IN NN IN DT NNP NNP CC PRP VBD VB PRP IN NN CC VBD PRP IN NNP
27889,0,DT JJ IN NNS VBP RB IN DT JJ NN NN DT JJ NN IN NNS VBP IN DT JJ NN NN DT JJ NN NN VBZ DT NN DT NNS VBP NNP NNP VBD DT NN NN PRP VBP DT NNS CC MD VB NNS
59420,0,NNP NN TO VB DT JJ NNS IN DT NNS WRB MD PRP VB NNP
12619,1,RB CD NNP VBD IN NN IN DT NNP NN CC DT VBZ NNP NNP DT NN VBD RB JJ PRP MD RB VB RB VBN NNP NN IN NNP VBD DT JJ JJ NN IN VBG DT NN VBN IN NNP EX VBD DT NN IN NNP
2482,1,RB JJ IN DT NNP IN PRP$ NNS IN CD NNS IN RB RB NNS MD VB NNP NNS VBN NNS IN DT NNP NNP NNP DT MD VB JJ NN VBN CC VBZ VBN RB IN PRP IN NNS
61339,0,WRB DT NNS VBP IN PRP$ NNS WRB VBP PRP VB PRP$ NN TO VB PRP CC NN IN RB VBP PRP VBG DT JJ NNS CC DT JJ JJ NNS IN DT JJS NN RB VB PRP RB MD RB VB RB IN VBG VBN NNS
81487,0,CC PRP$ RB RB IN NNP NNP VBD IN PRP$ NN DT NN VBD VBN RP CC VB RP PRP VBD VB CC NN PRP RB VBD IN DT NN VBD PRP$ NN IN DT NN IN DT NN RB PRP VBG TO VB PRP PRP MD VB PRP IN DT NN PRP VBP DT NN IN PRP$
87061,0,PRP MD VB JJ JJ NNS NNP IN VBG IN DT NNP IN DT NNP NNP VBZ NNP NNP
6815,1,NNP RB PRP VBD VBG DT NN IN PRP$ NN IN NNP IN NNP DT NN VBD DT JJ CC RB JJ NN IN PRP IN DT VBN NN VBD VBN IN VBD RB VB DT NNS MD VB VBN WRB PRP VBP IN JJ NNS IN NNS NNP NN
